ngram,High,Low,Medium,None
젖/NNG,0,2,1,0
젖/VV,0,0,1,0
제/XPN,0,0,1,0
제/XSN,0,0,2,0
제공/NNG,0,0,1,0
제기/NNG,1,1,4,0
제대로/MAG,0,0,6,0
제도/NNG,0,0,2,0
제발/MAG,0,0,1,0
제수/NNG,0,0,1,0
제시/NNG,0,0,4,1
제아무리/MAG,0,0,1,0
제안/NNG,0,0,1,0
제왕/NNG,0,0,1,0
제자리/NNG,0,0,1,0
제재/NNG,0,0,1,0
제조/NNG,0,0,1,0
제치/VV,0,0,2,0
제품/NNG,0,2,1,0
제한/NNG,0,0,1,0
조/NNB,0,1,0,0
조각가/NNG,0,1,0,0
조건/NNG,1,0,1,0
조금/MAG,0,1,1,0
조금/NNG,2,0,1,1
조류/NNG,0,0,1,0
조리기/NNG,0,0,1,0
조명/NNG,0,1,1,0
조선/NNP,0,1,0,0
조성/NNG,0,0,1,0
조속/XR,0,0,1,0
조언/NNG,0,1,3,0
조절/NNG,0,0,1,0
조직/NNG,1,0,1,0
조차/JX,2,0,1,3
조치/NNG,1,0,1,0
조화/NNG,0,0,3,0
존경/NNG,1,0,2,0
존귀/NNG,0,0,1,0
존재/NNG,0,0,2,0
존중/NNG,0,0,2,0
졸/VV,0,0,1,0
졸속/NNG,0,0,1,0
좀/MAG,0,0,5,0
좀체/MAG,0,1,0,0
좁/VA,0,1,0,0
종교인/NNG,0,0,1,0
종류/NNG,0,0,1,0
종용/NNG,0,0,1,0
종합/NNG,0,0,1,0
좋/VA,5,1,18,1
좋아하/VV,0,0,4,0
좌수/NNG,0,0,1,0
좌절감/NNG,0,0,1,0
좌파/NNG,0,0,1,0
죄/NNG,0,0,1,0
죄의식/NNG,0,0,1,0
죠/EC,0,0,0,1
죠/EF,0,0,1,0
주/VV,0,0,10,0
주/VX,1,1,20,1
주간/NNG,0,0,1,0
주검/NNG,0,1,0,0
주례/NNG,0,0,1,0
주로/MAG,0,1,0,0
주류/NNG,0,0,2,0
주목/NNG,0,1,5,0
주문/NNG,0,0,1,0
주방/NNG,0,1,0,0
주변/NNG,0,1,0,0
주선/NNG,0,0,1,0
주어지/VV,0,0,1,0
주위/NNG,0,0,1,0
주일/NNB,0,0,1,0
주입/NNG,0,1,0,0
주장/NNG,1,1,14,1
주저/NNG,0,0,1,0
주전자/NNG,0,0,1,0
주창/NNG,0,0,1,0
주체/NNG,0,0,4,0
죽/VV,1,0,5,0
죽음/NNG,0,0,1,0
준비/NNG,0,1,3,0
준수/NNG,0,0,1,0
준엄/XR,0,0,1,0
줄/NNB,0,1,0,0
줄/NNG,0,0,1,0
줄/VV,0,0,1,0
줄곧/MAG,0,0,1,0
줄어들/VV,0,0,1,0
줄이/VV,0,1,0,0
줏대/NNG,1,0,0,0
중/NNB,0,1,2,0
중고/NNG,0,0,1,0
중국/NNG,0,0,1,0
중국/NNP,0,1,1,0
중단/NNG,1,0,1,0
중대/NNG,1,0,0,0
중독/NNG,1,0,1,0
중론/NNG,0,0,1,0
중심/NNG,0,0,1,0
중앙/NNG,0,0,1,0
중얼거리/VV,0,0,1,0
중요*/NNG,0,0,3,0
중요/NNG,2,0,1,0
중요/XR,0,0,4,0
중점/NNG,0,0,1,0
중주단/NNG,0,0,2,0
중화/NNP,0,0,1,0
쥐/VV,0,0,1,0
즉/MAG,0,0,0,1
즉각/MAG,1,0,0,0
즐거움/NNG,1,0,1,0
즐겁/VA,1,0,3,0
즐기/VV,1,0,5,0
증가/NNG,1,0,0,0
증명/NNG,0,1,0,0
증상/NNG,0,1,0,0
증언/NNG,0,0,1,0
증여세/NNG,0,0,1,0
증폭/NNG,1,0,0,0
지/EC,24,11,79,5
지/EF,0,0,1,0
지/NNG,0,0,4,0
지/NP,0,0,1,0
지/VV,0,0,1,0
지/VX,6,6,31,1
지갑/NNG,1,0,1,0
지겹/VA,0,0,1,0
지구/NNG,0,0,1,0
지극히/MAG,1,0,1,0
지금/MAG,0,0,3,0
지나/VV,0,2,3,1
지나치/VA,1,0,3,0
지난/XR,1,0,0,0
지난번/NNG,0,0,1,0
지내/VV,0,0,1,0
지니/VV,0,0,1,0
지르/VV,0,1,0,0
지만/EC,0,1,6,25
지망/NNG,0,0,1,0
지방/NNG,0,1,1,0
지배/NNG,0,0,1,0
지속/NNG,0,0,2,0
지식/NNG,0,0,2,0
지역/NNG,0,2,0,0
지요/EF,0,2,1,0
지우/VV,1,0,0,0
지원/NNG,0,0,2,0
지원자/NNG,0,1,0,0
지위/NNG,1,0,0,0
지적/NNG,2,1,17,0
지점/NNG,0,1,0,0
지정/NNG,1,0,0,0
지지/NNG,1,0,1,0
지진/NNG,0,0,1,0
지치/VV,0,0,1,0
지키/VV,0,0,3,0
지하철/NNG,1,0,0,0
지향/NNG,0,0,4,0
지혜/NNG,0,0,1,0
지휘자/NNG,1,0,0,0
직결/NNG,0,0,1,0
직무/NNG,0,0,1,0
직전/NNG,0,0,1,0
직접/MAG,0,1,2,0
직접/NNG,0,0,1,0
진귀/XR,0,0,1,0
진단/NNG,0,0,3,0
진면목/NNG,0,0,1,0
진보/NNG,0,0,2,0
진수/NNG,1,0,0,0
진실/NNG,0,0,5,0
진심/NNG,0,0,1,0
진원지/NNG,0,0,1,0
진정/MAG,0,0,1,0
진정/NNG,1,0,0,0
진지/XR,0,0,1,0
진출/NNG,0,0,1,0
진통/NNG,0,0,3,0
질/NNG,0,0,1,0
질/XSN,0,0,4,0
질문/NNG,0,0,1,0
질병/NNG,0,0,1,0
질주/NNG,1,0,0,0
질책/NNG,0,0,1,0
질타/NNG,1,0,0,0
질투/NNG,0,0,1,0
질환/NNG,0,1,3,0
집/NNG,0,1,5,0
집/VV,0,0,1,0
집단/NNG,1,0,4,0
집대성/NNG,0,0,1,0
집주인/NNG,0,1,0,0
집중/NNG,0,0,2,0
집착/NNG,0,0,1,0
짓/NNG,0,0,1,0
징후/NNG,0,0,2,0
짙/VA,0,0,1,0
짜리/XSN,0,0,1,0
짜이/VV,0,0,1,0
짝/NNG,1,0,0,0
짧/VA,0,2,2,0
째/XSN,0,0,1,0
쪽/NNB,0,0,1,0
쪽/NNG,0,0,1,0
찢/VV,1,0,0,0
찢어지/VV,0,0,1,0
차/VV,2,0,1,0
차갑/VA,0,1,0,0
차단/NNG,1,0,0,0
차마/MAG,0,0,0,1
차별/NNG,0,0,1,1
차세대/NNG,0,0,1,0
차이/NNG,0,0,2,0
차지/NNG,0,0,1,0
차질/NNG,0,0,1,0
착각/NNG,0,1,2,0
착실/XR,1,0,0,0
착잡/XR,0,0,1,0
착하/VA,0,0,1,0
찬성/NNG,0,0,1,0
찬양/NNG,1,0,0,0
찬찬히/MAG,0,0,1,0
참*/VV,1,0,0,0
참/MAG,1,0,0,0
참/NNG,0,0,2,0
참/VV,0,0,1,0
참가/NNG,0,0,1,0
참담/NNG,1,0,0,0
참변/NNG,0,0,1,0
참여/NNG,0,0,5,0
창가/NNG,0,1,0,0
창문/NNG,0,0,1,0
창시자/NNG,0,0,1,0
창작/NNG,0,1,1,0
창작곡/NNG,0,0,1,0
창조/NNG,0,0,1,0
찾/VV,2,1,4,0
찾아오/VV,0,0,1,0
채/NNB,0,0,2,0
채소/NNG,0,0,1,0
채용/NNG,0,0,1,0
채택/NNG,0,0,2,0
책/NNG,0,1,6,0
책임/NNG,3,0,3,0
책임자/NNG,0,1,0,0
처럼/JKB,0,2,7,0
처리/NNG,0,0,2,0
처음/NNG,0,0,6,1
처절/XR,0,0,1,0
처지/NNG,0,0,4,0
처하/VV,0,0,1,0
척/NNB,0,0,1,0
척박/XR,0,0,1,0
천/NR,2,0,1,0
천만/NR,0,1,1,0
천사/NNG,1,0,0,0
천지/NNG,0,0,1,0
천진/NNG,0,0,1,0
철/NNG,0,0,1,0
철이/NNP,0,0,1,0
철저/NNG,0,0,3,0
철저/XR,0,0,1,0
철학/NNG,0,0,1,0
첨단/NNG,0,1,0,0
첫/MM,0,1,1,0
첫걸음/NNG,0,0,1,0
청/NNG,0,0,1,0
청구/NNG,1,0,0,0
청와대/NNP,1,0,1,0
체/NNB,0,0,1,0
체계/NNG,0,0,3,0
체면/NNG,0,0,1,0
체제/NNG,1,0,1,0
체질/NNG,0,0,2,0
체험/NNG,0,0,1,0
초/XPN,2,1,1,0
초과/NNG,0,1,0,0
초기/NNG,0,0,1,0
초목/NNG,0,1,0,0
초미/NNG,1,0,0,0
초점/NNG,0,0,1,0
촉구/NNG,0,1,2,0
촉망/NNG,0,0,1,0
촉촉/XR,1,0,0,0
촌평/NNG,0,0,1,0
촘촘/XR,0,1,0,0
총력전/NNG,0,0,1,0
총리/NNG,1,0,0,0
총살/NNG,0,1,0,0
총소리/NNG,0,0,1,0
촬영/NNG,0,0,1,0
최/XPN,0,0,1,0
최고/NNG,7,0,2,0
최근/NNG,0,0,1,0
최대/NNG,3,0,3,0
최선/NNG,2,0,0,0
최소/NNG,0,0,1,0
최악/NNG,1,0,0,0
최저/NNG,0,0,2,0
최초/NNG,0,0,1,0
최후/NNG,0,0,1,0
쵸티/NNP,0,0,1,0
추/VV,0,0,1,0
추격/NNG,1,0,0,0
추구/NNG,1,0,1,0
추락/NNG,1,0,0,0
추산/NNG,0,1,0,0
추석/NNG,0,0,1,0
추억/NNG,0,0,1,0
추정/NNG,0,0,2,0
추진/NNG,0,0,5,0
추천/NNG,1,0,2,0
축소/NNG,1,0,0,0
축제/NNG,0,0,1,0
축하/NNG,0,0,1,0
출연/NNG,0,3,0,0
출혈/NNG,0,0,1,0
춤/NNG,0,0,1,0
충격/NNG,5,0,0,0
충분/XR,0,0,2,0
충분히/MAG,2,0,0,0
충실/NNG,0,0,1,0
충실히/MAG,1,0,0,0
충족/NNG,0,0,2,0
취하/VV,0,0,1,0
취향/NNG,0,0,1,0
측면/NNG,0,0,1,0
치/VV,0,0,2,1
치밀/VV,0,0,1,0
치열/NNG,0,0,2,0
치열/XR,1,0,0,0
치유/NNG,0,1,1,0
친근/XR,0,0,2,0
친근감/NNG,0,0,1,0
친숙/NNG,0,1,1,0
친하/VA,0,0,2,0
침략/NNG,0,0,2,0
칭찬/NNG,0,0,2,0
카드/NNG,0,0,2,0
카메라/NNG,0,0,2,0
칼날/NNG,1,0,0,0
캄캄/XR,0,1,0,0
캐릭터/NNG,1,0,0,0
커다랗/VA,2,1,0,0
컴플렉스/NNG,0,0,1,0
콜럼버스/NNP,0,0,1,0
콩/NNG,0,1,0,0
쿠데타/NNG,0,0,1,0
큐브/NNG,0,0,1,0
크/VA,11,2,15,1
크림/NNG,0,0,1,0
큼직/XR,0,1,1,0
키우/VV,0,1,1,0
키히카/NNP,0,0,1,0
타/VV,0,1,1,0
타개/NNG,0,0,1,0
타고나/VV,0,0,1,0
타당/XR,0,0,1,0
타락/NNG,1,0,0,0
타의/NNG,0,0,1,0
타협/NNG,0,0,2,0
탁월/XR,0,0,1,0
탄로/NNG,0,0,1,0
탄생/NNG,0,0,1,0
탈피/NNG,0,0,1,0
탐구/NNG,0,0,1,0
탐방/NNG,0,0,1,0
탓/NNG,0,0,1,2
탕감/NNG,0,0,1,0
태극기/NNG,0,0,2,0
태도/NNG,0,0,1,0
태세/NNG,0,0,1,0
태익/NNP,0,0,1,0
택하/VV,0,0,1,0
터/NNB,0,0,0,1
터/NNG,0,0,1,0
터무니/NNG,0,0,1,0
터번/NNG,0,1,0,0
턱/NNB,1,0,0,0
털/VV,1,0,1,0
테러/NNG,1,0,0,0
텍스트/NNG,0,0,1,0
토끼/NNG,0,0,1,0
토론/NNG,1,0,1,0
토인비/NNP,0,1,0,0
토하/VV,1,0,1,1
통곡/NNG,1,0,0,0
통로/NNG,0,0,1,0
통속/NNG,0,0,1,0
통제/NNG,0,1,0,0
통증/NNG,0,0,1,0
통찰/NNG,0,0,3,0
통찰력/NNG,1,0,0,0
통첩/NNG,0,0,1,0
통하/VV,1,0,1,0
통화/NNG,0,0,1,0
퇴보/NNG,0,0,1,0
퇴색/NNG,0,1,0,0
퇴조/NNG,0,0,1,0
퇴폐/NNG,0,0,1,0
투게더/NNG,0,0,1,0
투사/NNG,0,0,1,0
투성이/XSN,1,0,1,0
투쟁/NNG,0,0,1,0
튀/VV,1,0,1,0
튀어나오/VV,1,0,0,0
특급/NNG,1,0,0,0
특성/NNG,0,0,1,0
특수/NNG,0,2,1,0
특유/NNG,0,0,1,0
특이/NNG,0,1,0,0
특집/NNG,0,0,1,0
특징/NNG,0,0,2,0
특출/XR,0,0,1,0
특허/NNG,0,0,1,0
특히/MAG,4,1,0,15
틀/NNG,0,0,1,0
틈바구니/NNG,0,0,1,0
파격/NNG,0,0,1,0
파고들/VV,0,0,1,0
파괴/NNG,1,0,0,0
파멸/NNG,0,0,1,0
파문/NNG,0,0,1,0
파스텔/NNG,0,1,0,0
파악/NNG,0,0,1,0
파열/NNG,0,0,1,0
판/NNG,0,0,3,0
판단/NNG,0,0,3,0
판매/NNG,0,0,1,0
판매량/NNG,0,0,1,0
판명/NNG,0,0,1,0
판정/NNG,0,0,1,0
팔/VV,0,0,3,0
팔리/VV,1,0,1,0
패/VV,0,0,1,0
퍼먹/VV,0,0,1,0
퍼지/VV,0,0,1,0
펄펄/MAG,1,0,0,0
페놀/NNG,1,0,0,0
편/NNB,0,1,2,0
편견/NNG,0,0,3,0
편리/NNG,0,0,1,0
편모/NNG,0,0,2,0
편안/NNG,0,2,1,0
편중/NNG,0,1,0,0
편차/NNG,0,0,0,1
편파/NNG,0,0,1,0
편하/VA,0,0,2,0
편향/NNG,0,0,1,0
펼치/VV,0,0,1,0
평가/NNG,1,0,7,0
평등/NNG,0,0,2,0
평론가/NNG,0,1,1,0
평범/XR,0,0,1,0
평하/VV,1,0,0,0
평화/NNG,0,0,4,0
폐단/NNG,0,0,1,0
폐렴/NNG,0,1,1,0
폐지/NNG,1,0,2,0
포기/NNG,0,0,1,0
포도주/NNG,0,1,0,0
포장/NNG,0,2,6,0
폭/NNG,0,0,2,0
폭넓/VA,0,0,1,0
폭력/NNG,2,0,1,0
폭발/NNG,1,0,0,0
폭행/NNG,0,0,1,0
표상/NNG,0,1,0,0
표시/NNG,0,0,1,0
표어/NNG,0,0,1,0
표창/NNG,1,0,0,0
푸/VV,1,0,0,0
푹/MAG,1,0,0,0
푼수/NNG,0,1,0,0
풀/VV,0,0,4,0
풀려나/VV,0,0,1,0
풀리/VV,0,0,2,0
풀벌레/NNG,0,0,1,0
풀어지/VV,1,0,0,0
풀이/NNG,1,0,0,0
풀타임/NNG,1,0,0,0
품질/NNG,0,0,1,0
풋풋/XR,0,0,1,0
풍/XSN,0,0,1,0
풍경/NNG,0,0,1,0
풍물/NNG,0,0,1,0
풍성/XR,0,0,1,0
풍요/NNG,0,0,2,0
프랑스/NNP,1,0,0,0
프로/NNG,0,0,1,0
프로이트/NNP,0,0,1,0
프로젝트/NNG,0,0,1,0
피/NNG,1,0,1,0
피부/NNG,0,0,2,0
피서/NNG,0,1,0,0
피식/MAG,0,0,1,0
피어나/VV,0,0,1,0
피우/VV,1,0,2,0
피하/VV,0,0,1,0
피해/NNG,1,1,0,0
피해자/NNG,0,0,1,0
필기/NNG,0,0,1,0
필수/NNG,1,1,2,0
필연/NNG,0,0,1,0
필요/NNG,3,1,18,1
핍박/NNG,0,0,1,0
하*/VV,0,2,2,0
하*/VX,0,0,0,1
하*/XSA,0,0,1,0
하*/XSV,0,1,0,0
하/VV,10,11,48,18
하/VX,9,4,42,89
하/XSA,38,28,258,9
하/XSV,65,54,332,14
하고*/JC,0,2,0,0
하고*/JKB,0,0,1,0
하나/NR,0,1,6,0
하늘/NNG,1,0,4,0
하루/NNG,1,0,1,0
하루빨리/MAG,0,0,1,0
하이라이트/NNG,1,0,1,0
하지만/MAJ,0,0,2,8
하향세/NNG,0,0,1,0
학년/NNG,0,0,1,0
학대/NNG,1,0,0,0
학생/NNG,0,0,2,0
학술/NNG,0,0,1,0
학습/NNG,0,0,1,0
학원/NNG,0,0,1,0
한*/MM,1,0,0,0
한/MM,1,4,14,0
한/NNG,0,0,2,1
한/NNP,1,0,0,0
한/XPN,0,0,1,0
한가/XR,0,1,1,0
한가로이/MAG,0,0,1,0
한가지/NNG,0,0,2,0
한결같이/MAG,0,0,1,0
한계/NNG,0,0,1,0
한과/NNG,0,0,1,0
한국/NNP,0,2,2,0
한달음/NNG,0,1,0,0
한데/MAG,0,1,1,0
한마디/NNG,0,0,1,0
한문학/NNG,0,0,1,0
한민족/NNP,0,0,1,0
한술/NNG,0,0,0,1
한숨짓/VV,0,0,1,0
한자/NNG,0,0,2,0
한창/MAG,1,0,0,0
한층/MAG,0,0,1,0
한탄/NNG,0,0,1,0
한판/NNG,0,0,2,0
한편/MAG,0,0,0,3
한편/NNG,0,0,0,1
할리우드/NNP,0,0,1,0
함께/MAG,0,0,5,0
함성/NNG,0,1,0,0
함정/NNG,0,0,1,0
합의/NNG,0,0,2,0
항균/NNG,0,0,1,0
항상/MAG,0,0,2,0
항생/NNG,0,1,0,0
해/NNG,0,1,0,0
해결/NNG,0,0,5,0
해독/NNG,0,0,1,0
해명/NNG,0,0,1,0
해방/NNG,0,0,1,0
해방감/NNG,0,0,1,0
해보/VV,0,1,0,1
해석/NNG,0,0,1,0
해소/NNG,0,1,2,0
해외/NNG,0,1,1,0
해이/NNG,0,0,1,0
해저/NNG,0,0,1,0
해적/NNG,0,0,1,0
해피/NNG,0,0,1,0
해학/NNG,0,0,1,0
핵심/NNG,0,0,1,0
햇곡식/NNG,0,0,1,0
햇살/NNG,0,0,1,0
행각/NNG,0,0,1,0
행동/NNG,1,1,0,0
행복/NNG,4,0,5,0
행사/NNG,0,0,5,0
행세/NNG,0,0,1,0
행위/NNG,1,0,3,0
행정/NNG,0,0,1,0
행태/NNG,1,0,0,0
향기/NNG,0,0,1,0
향상/NNG,0,0,1,0
향하/VV,1,0,1,0
허구/NNG,0,0,1,0
허다/XR,0,0,1,0
허둥대/VV,1,0,1,0
허리/NNG,1,0,1,0
허물/VV,0,0,2,0
허우적거리/VV,0,0,1,0
허위/NNG,0,0,1,0
허위의식/NNG,0,0,1,0
허점/NNG,1,0,0,0
헤아리/VV,0,0,1,0
혀/NNG,0,0,1,0
현대/NNG,0,0,1,0
현란*/NNG,0,0,1,0
현란/XR,1,0,0,0
현실/NNG,2,3,5,0
현악/NNG,0,0,2,0
현재/NNG,0,1,1,0
혈액/NNG,0,0,1,0
혐의/NNG,3,0,2,1
협력/NNG,0,0,1,0
협박/NNG,1,0,1,0
협심증/NNG,0,0,1,0
협의/NNG,0,0,3,0
협조자/NNG,0,0,1,0
형/XSN,2,0,0,0
형식/NNG,1,0,2,0
형제/NNG,0,0,1,0
형제애/NNG,0,0,1,0
형태/NNG,0,0,1,0
형편/NNG,0,0,1,0
호/NNB,1,0,0,0
호감/NNG,1,0,0,0
호기심/NNG,0,0,1,0
호박/NNG,0,0,1,0
호박고지/NNG,0,0,1,0
호소/NNG,1,1,0,0
호응/NNG,0,0,2,0
호전/NNG,0,0,1,0
호텔/NNG,0,1,0,0
호흡/NNG,0,0,1,0
혹시/MAG,0,1,1,0
혹은/MAG,1,0,0,0
혼/NNG,0,0,2,0
혼나/VV,0,0,1,0
혼란/NNG,0,0,1,0
혼자/NNG,0,1,2,0
홀가분/XR,0,0,1,0
홀아비/NNG,0,0,1,0
홍보/NNG,0,1,0,0
홍역/NNG,2,0,0,0
화/XSN,3,3,19,0
화급/NNG,1,0,0,0
화려/XR,0,1,5,0
화상/NNG,1,0,0,0
화장실/NNG,0,0,1,0
화장품/NNG,0,0,1,0
화재/NNG,0,2,0,0
화제/NNG,0,0,2,0
화합/NNG,0,0,1,0
확대/NNG,1,0,0,0
확보/NNG,0,1,0,0
확산/NNG,0,0,3,0
확신/NNG,1,1,0,0
확실/XR,0,0,2,0
확실히/MAG,0,0,1,0
확인/NNG,0,0,5,0
환경/NNG,1,0,1,0
환골탈태/NNG,1,0,0,0
환불/NNG,0,0,1,0
환상/NNG,1,0,3,0
환영/NNG,1,0,1,0
환자/NNG,0,1,0,0
환하/VA,0,0,1,0
환호/NNG,0,0,1,0
환희/NNG,0,0,1,0
활기/NNG,0,0,1,0
활달/XR,0,0,1,0
활동/NNG,0,0,1,0
활발/XR,0,0,3,0
활성/NNG,0,2,2,0
활용/NNG,0,0,2,0
활짝/MAG,0,1,0,0
황금기/NNG,1,0,0,0
황당/XR,0,0,1,0
황폐/XR,0,0,1,0
황홀/XR,1,0,0,0
회/NNB,0,0,1,0
회귀/NNG,0,0,1,0
회생/NNG,0,0,1,0
회피/NNG,0,0,1,0
회화/NNG,0,1,0,0
획일/XR,0,1,1,0
횡설수설/NNG,0,0,1,0
횡행/NNG,0,0,1,0
효과/NNG,0,0,2,0
효도/NNG,0,1,0,0
효율/NNG,0,0,3,0
후/NNG,0,0,2,0
훈훈/XR,0,0,1,0
훌륭/XR,0,0,2,0
훌륭히/MAG,1,0,0,0
훌쩍/MAG,0,0,1,0
훤히/MAG,0,2,0,0
훨씬/MAG,5,1,3,0
휩싸이/VV,1,0,0,0
휴식/NNG,0,0,1,0
흉내/NNG,1,1,1,0
흐르/VV,0,0,5,0
흐름/NNG,0,0,1,0
흑인/NNG,0,0,1,0
흔들/VV,0,0,2,0
흔들리/VV,0,0,1,0
흔하/VA,0,0,2,0
흔히/MAG,0,1,0,2
흘러가/VV,0,1,0,0
흘려주/VV,0,1,0,0
흘리/VV,1,0,0,0
흙탕물/NNG,1,0,0,0
흠모/NNG,0,0,1,0
흡수/NNG,0,0,1,0
흥겹/VA,0,0,1,0
흥미/NNG,0,0,1,0
흥미진진/XR,0,0,1,0
흥취/NNG,0,0,1,0
흥하/VV,0,0,1,0
흥행/NNG,3,0,3,0
희극/NNG,1,0,1,0
희망/NNG,0,0,4,0
희박/XR,1,0,0,0
희생/NNG,0,0,1,0
희생자/NNG,0,0,1,0
희소식/NNG,0,0,1,0
히스테리/NNG,0,0,1,0
힘/NNG,1,0,6,0
힘겹/VA,0,0,1,0
힘들/VA,0,2,2,0
힘차/VA,0,0,1,0
가*/JKS 있/VV,0,0,1,0
가*/VV ㄴ다*/EF,0,1,0,0
가/JKC 되/VV,1,2,8,0
가/JKC 아니/VCN,2,2,2,0
가/JKS 가능/NNG,0,0,1,0
가/JKS 가장/MAG,0,1,1,0
가/JKS 굵/VA,0,0,1,0
가/JKS 그/MM,1,0,0,0
가/JKS 그리/MAG,0,0,1,0
가/JKS 극대/NNG,1,0,0,0
가/JKS 꺾이/VV,1,0,0,0
가/JKS 꽤/MAG,1,0,0,0
가/JKS 꿈/NNG,0,0,1,0
가/JKS 나/NP,0,0,1,0
가/JKS 나/VV,0,0,1,0
가/JKS 나오/VV,0,0,1,0
가/JKS 넘/VV,0,1,0,0
가/JKS 높/VA,1,1,0,0
가/JKS 느끼/VV,0,0,1,0
가/JKS 늘/VV,0,0,2,0
가/JKS 다르/VA,0,0,1,0
가/JKS 단절/NNG,0,0,1,0
가/JKS 더욱/MAG,0,0,1,0
가/JKS 돋아나/VV,0,0,1,0
가/JKS 둘/NR,0,0,1,0
가/JKS 들/VV,1,0,0,0
가/JKS 뛰쳐나오/VV,0,0,1,0
가/JKS 막/NNG,0,0,1,0
가/JKS 막대/XR,0,0,1,0
가/JKS 많/VA,3,2,2,0
가/JKS 많이/MAG,0,1,0,0
가/JKS 맞/VV,0,0,1,0
가/JKS 무대/NNG,0,0,1,0
가/JKS 바늘/NNG,0,0,1,0
가/JKS 보/VV,0,0,1,0
가/JKS 살아나/VV,0,0,1,0
가/JKS 삼위일체/NNG,0,0,1,0
가/JKS 새/VV,0,0,1,0
가/JKS 생기/VV,0,1,1,0
가/JKS 성행/NNG,0,0,1,0
가/JKS 속하/VV,0,0,1,0
가/JKS 쉽/VA,0,0,2,0
가/JKS 시급/XR,1,0,0,0
가/JKS 쏠쏠/XR,0,0,1,0
가/JKS 아프/VA,0,0,1,0
가/JKS 어우러지/VV,0,0,1,0
가/JKS 얼마나/MAG,1,0,2,0
가/JKS 없/VA,3,2,11,2
가/JKS 열리/VV,0,0,1,0
가/JKS 울리/VV,0,0,1,0
가/JKS 일어나/VV,0,0,1,0
가/JKS 일정/NNG,0,0,1,0
가/JKS 잇따르/VV,1,0,0,0
가/JKS 있/VV,0,2,8,1
가/JKS 작용/NNG,0,0,1,0
가/JKS 장주/NNG,0,0,1,0
가/JKS 적/VA,0,0,1,0
가/JKS 주장/NNG,0,0,1,0
가/JKS 죽/VV,0,0,1,0
가/JKS 줄/VV,0,0,1,0
가/JKS 짧/VA,0,0,1,0
가/JKS 차/VV,0,0,1,0
가/JKS 차단/NNG,1,0,0,0
가/JKS 크/VA,2,0,0,1
가/JKS 태익/NNP,0,0,1,0
가/JKS 특허/NNG,0,0,1,0
가/JKS 평화/NNG,0,0,1,0
가/JKS 풀리/VV,0,0,1,0
가/JKS 하/VV,0,0,1,0
가/JKS 횡행/NNG,0,0,1,0
가/JKS 흐르/VV,0,0,1,0
가/JKS 힘/NNG,0,0,1,0
가/VV 기/ETN,0,0,1,0
가/VV ㄴ/ETM,1,0,0,0
가/VV 네/EC,0,1,0,0
가/VV 는/ETM,0,0,2,0
가/VV ㄹ/ETM,0,1,0,0
가/VV ㄹ수록/EC,0,0,0,1
가/VV ㅂ시당/EF,0,0,1,0
가/VV 았/EP,0,0,2,0
가/VV 지/EF,0,0,1,0
가/VX 고/EC,0,0,1,0
가/VX ㄹ/ETM,0,1,1,0
가/VX 며/EC,0,0,0,1
가격/NNG 보다/JKB,0,0,1,0
가격/NNG 의/JKG,0,0,1,0
가까이/MAG 다가가/VV,0,0,1,0
가까이/MAG 초과/NNG,0,1,0,0
가깝/VA 게/EC,0,0,1,0
가꾸/VV 며/EC,0,0,1,0
가늠/NNG 하/XSV,0,0,1,0
가능*/NNG 성/XSN,0,0,1,0
가능/NNG 성/XSN,1,1,3,0
가능/NNG 하/XSA,0,0,3,0
가능/XR 성/XSN,1,0,4,0
가도/NNG 를/JKO,0,0,1,0
가득/MAG 차/VV,2,0,0,0
가르치/VV 는/ETM,0,0,1,0
가르치/VV ㄹ/ETM,0,0,1,0
가르치/VV 려면/EC,0,1,0,0
가리/VV 지/EC,1,0,0,0
가사/NNG 노동/NNG,0,0,1,0
가스/NNG 가/JKS,0,0,1,0
가슴/NNG 은/JX,0,0,1,0
가슴/NNG 을/JKO,0,0,1,0
가슴/NNG 이/JKS,1,0,1,0
가슴/NNG 이나/JC,0,0,1,0
가을/NNG 같/VA,0,0,1,0
가장/MAG 고독/NNG,0,0,1,0
가장/MAG 긍정/NNG,1,0,0,0
가장/MAG 길/VA,0,0,1,0
가장/MAG 깜찍/XR,0,0,1,0
가장/MAG 내용/NNG,0,0,1,0
가장/MAG 널리/MAG,0,0,1,0
가장/MAG 단적/NNG,1,0,0,0
가장/MAG 많이/MAG,0,1,0,0
가장/MAG 먼저/MAG,1,0,0,0
가장/MAG 상식/NNG,0,0,1,0
가장/MAG 성공/NNG,0,0,1,0
가장/MAG 솔직/XR,1,0,0,0
가장/MAG 아름답/VA,1,0,0,0
가장/MAG 어렵/VA,0,0,1,0
가장/MAG 위협/NNG,1,0,0,0
가장/MAG 인기/NNG,2,0,0,0
가장/MAG 일관/XR,1,0,0,0
가장/MAG 전문가/NNG,0,0,1,0
가장/MAG 좋/VA,1,0,1,0
가장/MAG 친근/XR,0,0,1,0
가장/MAG 크/VA,2,0,4,0
가장/MAG 하/XSV,1,0,0,0
가장/MAG 흉내/NNG,1,0,0,0
가족/NNG 들/XSN,0,0,1,0
가족/NNG 은/JX,1,0,0,0
가족/NNG 이/JKS,0,0,2,0
가족/NNG 하고*/JKB,0,0,1,0
가증/XR 스럽/XSA,0,0,1,0
가지/NNB 가/JKS,0,1,0,0
